API reference URL,JS method docs,Python method docs
https://docs.apify.com/api/v2#/reference/actors/build-collection/build-actor,https://docs.apify.com/api/client/js/reference/class/ActorClient#build,https://docs.apify.com/api/client/python/reference/class/ActorClient#build
https://docs.apify.com/api/v2#/reference/actors/build-collection,https://docs.apify.com/api/client/js/reference/class/ActorClient#builds,#N/A
https://docs.apify.com/api/v2#/reference/actors/run-collection/run-actor,https://docs.apify.com/api/client/js/reference/class/ActorClient#call,https://docs.apify.com/api/client/python/reference/class/ActorClient#start
https://docs.apify.com/api/v2#/reference/actors/actor-object/delete-actor,https://docs.apify.com/api/client/js/reference/class/ActorClient#delete,#N/A
https://docs.apify.com/api/v2#/reference/actors/actor-object/get-actor,https://docs.apify.com/api/client/js/reference/class/ActorClient#get,https://docs.apify.com/api/client/python/reference/class/ActorClient#get
https://docs.apify.com/api/v2#/reference/actors/last-run-object-and-its-storages,https://docs.apify.com/api/client/js/reference/class/ActorClient#lastRun,https://docs.apify.com/api/client/python/reference/class/RunClient#dataset
https://docs.apify.com/api/v2#/reference/actors/run-collection,https://docs.apify.com/api/client/js/reference/class/ActorClient#runs,#N/A
https://docs.apify.com/api/v2#/reference/actors/run-collection/run-actor,https://docs.apify.com/api/client/js/reference/class/ActorClient#call,https://docs.apify.com/api/client/python/reference/class/ActorClient#start
https://docs.apify.com/api/v2#/reference/actors/actor-object/update-actor,https://docs.apify.com/api/client/js/reference/class/ActorClient#update,https://docs.apify.com/api/client/python/reference/class/ActorClient#update
https://docs.apify.com/api/v2#/reference/actors/version-object,https://docs.apify.com/api/client/js/reference/class/ActorClient#version,#N/A
https://docs.apify.com/api/v2#/reference/actors/version-collection,https://docs.apify.com/api/client/js/reference/class/ActorClient#versions,#N/A
https://docs.apify.com/api/v2#/reference/actors/webhook-collection,https://docs.apify.com/api/client/js/reference/class/ActorClient#webhooks,#N/A
https://docs.apify.com/api/v2#/reference/actors/actor-collection/create-actor,https://docs.apify.com/api/client/js/reference/class/ActorCollectionClient#create,https://docs.apify.com/api/client/python/reference/class/ActorCollectionClient#create
https://docs.apify.com/api/v2#/reference/actors/actor-collection/get-list-of-actors,https://docs.apify.com/api/client/js/reference/class/ActorCollectionClient#list,https://docs.apify.com/api/client/python/reference/class/ActorCollectionClient#list
https://docs.apify.com/api/v2#/reference/actors/actor-object,https://docs.apify.com/api/client/js/reference/class/ApifyClient#actor,#N/A
https://docs.apify.com/api/v2#/reference/actors/actor-collection,https://docs.apify.com/api/client/js/reference/class/ApifyClient#actors,#N/A
https://docs.apify.com/api/v2#/reference/actor-builds/build-object,https://docs.apify.com/api/client/js/reference/class/ApifyClient#build,#N/A
